Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
SWARCO,Connectivity & Infrastructure,European signals incumbent with a C-ITS upgrade path,Passenger loop,Company,Wattens,,Austria,Europe,1969,,,,,,,,,Commercial-scaled,"Traffic technology group covering signals, road marking, traffic management, parking and cooperative ITS.",,https://swarco.com,Europe; global,"Michael Schuch, CEO; verify","Traffic hardware, software, services and materials",Private,,European and global road-agency deployments,Installed traffic infrastructure base gives upgrade path to connected corridors,Important European incumbent for C-ITS and smart infrastructure,0,,11
Tencent Cloud,Connectivity & Infrastructure,Automotive cloud and map services tying China's AV ecosystem,Passenger loop,Company,Shenzhen,,China,Greater China,2010,,,,,,,,,Commercial-scaled,"Cloud and digital infrastructure provider with automotive cloud, HD map/data services and city mobility partnerships.",,https://tencent.com,China; Asia,"Pony Ma, Tencent founder and CEO; cloud leadership verify","Cloud, data and enterprise services",Subsidiary,,"Chinese OEM, city and mobility ecosystem partnerships","Chinese AV deployments rely on cloud, mapping, connectivity and local government ties",Important China ecosystem connector,1,Pony.ai,8
TUV SUD,Connectivity & Infrastructure,Testing & safety assurance,Passenger loop,Company,Munich,,Germany,Europe,1866,,,,,,,,,Production,"Independent AV/ADAS type-approval, safety and simulation validation",,https://tuvsud.com,,,,Nonprofit (foundation),TUV SUD Foundation,,,Recommended Mobileye's safety approach for SAE L4 (Mar 2026),0,,4
UL Solutions,Connectivity & Infrastructure,UL 4600 certification anchoring AV safety cases,Passenger loop,Company,Northbrook,IL,US,North America,1894,,,,,,,,,Commercial-scaled,"Testing, inspection, certification and standards company; relevant to AV safety cases, cyber-physical risk evidence and insurability.",,https://ul.com,Global,"Jennifer Scanlon (CEO, verify current)","Testing, certification, advisory and standards services.",Public (NYSE: ULS),Public,Global safety certification markets,UL 4600 is an AV safety-related standard in the broader governance layer.,Important because standards compliance and safety-case evidence are increasingly central to commercial deployment,0,,14
Upstream Security,Connectivity & Infrastructure,Cloud SOC monitoring millions of connected vehicles,Passenger loop,Company,Herzliya,,Israel,Middle East & Africa,2017,,,,,,,,,Commercial-scaled,"Cloud-based automotive cybersecurity and data platform for connected vehicles, focused on detecting threats, monitoring fleets and managing connected-car data risk.",,https://upstream.auto,Global,"Yoav Levy, co-founder and CEO",Cybersecurity SaaS; vehicle SOC; data platform,Private; venture-backed; latest round not verified,"Volvo Group, BMW, Hyundai, Salesforce Ventures","OEM, fleet and mobility customers; exact active customer list not verified",Quoted in 2026 coverage on connected-vehicle software compliance complexity,Connected-vehicle regulation increases demand for continuous monitoring and software governance,0,,12
Valerann,Connectivity & Infrastructure,Fused road intelligence giving operators a live network view,Passenger loop,Company,London,,UK,Europe,2016,,,,,,,,,Commercial-limited,AI traffic data and road-operator platform providing real-time road intelligence from multiple data sources.,,,Europe; Middle East; US pilots,"Gabriel Jacobson, CEO; verify",Traffic management SaaS; road operator data platform,Private; venture-backed,,Highway/road-operator pilots and deployments; exact scale not verified,Data-fusion approach aligns with AV corridor monitoring,Watch as a software-first road-intelligence platform,0,,6
Vay,Connectivity & Infrastructure,"Teledriven rentals: 100-car Kia fleet, 35,000 trips, Grab-backed",Passenger loop,Company,Berlin,,Germany,Europe,2018,222,,,,,,,,Commercial-limited,"Remote-driven car-rental service. Teledrivers deliver electric rental cars to users, who then drive themselves and leave retrieval/parking to Vay.",First to commercially teledrive cars on US public roads (Las Vegas).,https://vay.io,"United States, Germany","Thomas von der Ohe, co-founder and CEO",Consumer rental revenue; fleet operations; potential platform partnerships,Private; over $100M raised before 2025; Grab invested $60M in 2025 with potential milestone funding,"Grab (up to $410M), EIB",Commercial service in Las Vegas; Europe expansion under regulatory development,"100 Kia Niro fleet and 35,000 trips reported in Jan 2026 coverage; Grab $60M investment in Nov 2025",Grab investment makes Vay the most commercially visible remote-driving platform,1,Grab,12
Vector Informatik,Connectivity & Infrastructure,CANoe tooling every vehicle-network engineer knows,Passenger loop,Company,Stuttgart,,Germany,Europe,1988,,,,,,,,,Commercial-scaled,"Automotive embedded software and tools company. Its CANoe, diagnostics and security-related tools are widely used for vehicle network development, testing and cybersecurity processes.",,https://vector.com,Global,"Thomas Beck, CEO; verify","Engineering software tools, embedded software and services",Private,,Global OEM/Tier-1 engineering base,Vehicle-network tooling is core to security testing and V2X validation,Developer toolchain supplier rather than a pure cybersecurity startup,0,,12
VicOne,Connectivity & Infrastructure,Trend Micro's automotive SOC and vulnerability arm,Passenger loop,Company,,,Taiwan,Greater China,2022,,,,,,,,,Commercial-limited,"Automotive cybersecurity subsidiary of Trend Micro focused on vehicle SOC, vulnerability management, xCarbon and software-defined vehicle protection.",,https://vicone.com,Global,"Max Cheng, CEO; verify",Cybersecurity software and services,Subsidiary,Trend Micro (majority),OEM/supplier cybersecurity programs; exact customers not verified,SDV threat management and SBOM-style workflows make it relevant,Watch as a global cyber vendor moving into automotive specialization,0,,10
Yunex Traffic,Connectivity & Infrastructure,Siemens-heritage traffic systems in cities worldwide,Passenger loop,Company,Munich,,Germany,Europe,2021,,,,,,,,,Commercial-scaled,"Traffic management and ITS company spun out from Siemens and owned by Atlantia/Abertis group exposure. Provides signals, traffic centers and connected infrastructure.",,https://yunextraffic.com,Europe; US; global,"Stefan Eckert, CEO; verify","Traffic systems, software, maintenance and services",Subsidiary,,Global city and highway traffic deployments,Legacy Siemens ITS base provides dense infrastructure reach,Incumbent traffic systems are practical routes into AV-supportive cities,0,,9
Aisin,Vehicle Platform & Manufacturing,Toyota-group actuation and driveline for redundant platforms,Passenger loop,Company,Kariya,,Japan,Asia-Pacific,1949,,,,,,,,,Commercial-scaled in components,"Toyota-group supplier of drivetrain, chassis, braking, and vehicle systems relevant to redundant AV platforms.",,,Global,Morita Kanji; verify current,Automotive components and systems supply.,Public / Toyota group affiliate,,Global Toyota/OEM supply; AV-specific current edges to verify.,Included because vehicle platforms for autonomy need production-grade actuation and driveline redundancy.,Aisin is a Toyota-group industrialization node rather than a standalone AV brand.,0,,10
Aptiv,Vehicle Platform & Manufacturing,Vehicle architecture supplier and Motional co-founder,Passenger loop,Company,Dublin,,Ireland,Europe,1994,,,,,,,,,Commercial-scaled in components; Motional role changed,"Automotive technology supplier and co-founder of Motional with Hyundai; provides electrical architecture, software, and advanced safety systems.",,https://aptiv.com,Global OEM programs,"Kevin Clark, CEO historically","Automotive components, electrical architecture, safety systems, and mobility technology investments.",Public (NYSE: APTV),Public,Motional ownership shifted toward Hyundai; Aptiv remains a key architecture and integration supplier.,Motional has restructured and delayed deployment timelines while focusing on lower-cost robotaxi economics.,Aptiv matters as a former AV operator-builder and current vehicle architecture supplier.,0,,14
BAIC Group,Vehicle Platform & Manufacturing,State-owned OEM behind Arcfox robotaxi platforms,Passenger loop,Company,Beijing,,China,Greater China,1958,,,,,,,,,Commercial-limited,Chinese state-owned automaker and joint-venture partner appearing in Apollo Go and Pony.ai robotaxi platform ecosystems.,,https://baicgroup.com.cn,China; selective international export through partners,Leadership to verify,"Vehicle manufacturing, joint ventures, and fleet/platform supply.",State-owned / public affiliates,,BAIC-linked Arcfox and robotaxi models used in Chinese autonomous ridehail pilots and paid services.,Included due to China robotaxi scale and BAIC/Pony/Baidu platform relationships.,"BAIC is a useful China node because it links municipal policy, OEM capacity, and robotaxi commercialization.",1,Pony.ai,8
Baidu Apollo RT6,Vehicle Platform & Manufacturing,Sixth-gen purpose-built robotaxi driving Apollo Go's costs down,Passenger loop,Company,Beijing,,China,Greater China,2022,,,,,,,,,Commercial-scaled in China ecosystem,Baidu's sixth-generation purpose-built robotaxi platform designed to cut unit costs and scale Apollo Go's fleet.,,https://apollo.auto,China; international expansion through Apollo Go partnerships,Baidu Apollo leadership to verify,Internal vehicle platform for Apollo Go ridehail; technology and mobility ecosystem services.,Subsidiary / internal platform,,Apollo Go deployments across multiple Chinese cities; RT6 introduced as lower-cost platform for scale.,RT6 cost positioning and Apollo Go fleet scale make Baidu a global platform benchmark.,Baidu has one of the strongest China examples of software plus low-cost purpose-built vehicle integration.,1,Baidu Apollo Go,11
Benteler Group,Vehicle Platform & Manufacturing,Contract manufacturing & upfitting; Purpose-built robotaxi/pod makers,Passenger loop,Company,Salzburg,,Germany,Europe,1876,,,,,,,,,Announced / commercial-limited,Industrial and automotive supplier behind Holon autonomous shuttles and vehicle engineering/manufacturing activities.,,https://benteler.com,Europe; US through Holon Jacksonville,Leadership to verify,"Automotive components, chassis, tubes, engineering, and mobility vehicle platforms.",Private / family-owned,Benteler family,Holon shuttles planned for Lyft integration and US manufacturing in Jacksonville.,Lyft/Holon deal makes Benteler a direct AV manufacturing/upfitting node.,Benteler is the industrial backbone behind Holon's autonomous shuttle route to US ridehail integration.,1,Holon,9
